objects_num,classes,trajectory,timestamp
1,,"['(0.0, 0.0, 24.0, 30.0)', '(0.0, 0.0, 35.0, 29.0)']","[255.66666666666666, 256.3333333333333]"
1,4.0,"['(0.0, 46.0, 37.0, 33.0)', '(111.0, 188.0, 41.0, 32.0)']","[333.73333333333335, 334.4]"
1,,"['(1030.0, 252.0, 29.0, 37.0)', '(1146.5, 257.0, 34.5, 16.0)']","[336.3666666666667, 336.7]"
1,,"['(1254.0, 363.0, 26.0, 34.0)', '(559.0, 388.0, 49.0, 56.0)']","[337.96666666666664, 338.53333333333336]"
1,,"['(0.0, 10.0, 32.0, 26.0)', '(124.0, 155.0, 43.5, 34.5)']","[350.56666666666666, 351.46666666666664]"
1,4.0,"['(96.0, 346.0, 46.0, 41.0)', '(51.0, 355.0, 87.0, 24.0)']","[351.8333333333333, 352.1666666666667]"
1,,"['(0.0, 213.0, 15.0, 32.0)', '(0.0, 262.0, 25.0, 32.0)']","[361.8666666666667, 362.6333333333333]"
1,,"['(0.0, 260.0, 22.0, 37.0)', '(0.0, 256.0, 15.0, 34.0)']","[362.7, 363.1333333333333]"
1,,"['(0.0, 165.0, 29.0, 32.0)', '(93.5, 179.5, 39.0, 20.0)']","[371.93333333333334, 372.1666666666667]"
1,,"['(200.0, 64.0, 22.0, 30.0)', '(0.0, 268.0, 30.0, 28.0)']","[373.6666666666667, 374.7]"
1,,"['(0.0, 240.0, 17.0, 40.0)', '(0.0, 256.0, 18.0, 23.0)']","[385.5, 385.96666666666664]"
1,4.0,"['(1193.0, 0.0, 87.0, 44.0)', '(912.5, 277.0, 36.0, 32.5)']","[395.3666666666667, 399.3666666666667]"
1,,"['(0.0, 175.0, 24.0, 29.0)', '(0.0, 257.0, 24.0, 28.0)']","[430.06666666666666, 431.03333333333336]"
1,,"['(0.0, 256.0, 23.0, 46.0)', '(0.0, 264.0, 16.0, 36.0)']","[431.1666666666667, 431.53333333333336]"
1,4.0,"['(917.0, 255.0, 17.0, 23.0)', '(933.0, 305.0, 30.0, 51.0)']","[432.8666666666667, 435.8333333333333]"
1,,"['(25.0, 0.0, 31.0, 27.0)', '(80.0, 0.0, 28.0, 20.5)']","[520.5, 520.6666666666666]"
1,,"['(102.0, 0.0, 68.0, 20.0)', '(137.0, 0.0, 42.0, 15.0)']","[522.7666666666667, 523.0333333333333]"
1,,"['(169.0, 0.0, 50.0, 13.0)', '(169.0, 0.0, 51.0, 12.0)']","[530.9333333333333, 531.0]"
1,,"['(148.0, 0.0, 26.0, 14.0)', '(139.0, 0.0, 44.0, 14.0)']","[536.1666666666666, 537.2]"
1,0.0,"['(0.0, 406.0, 80.0, 97.0)', '(297.0, 80.0, 80.0, 51.0)']","[550.4, 553.6]"
1,,"['(295.0, 88.0, 23.0, 26.0)', '(314.0, 72.5, 21.0, 28.0)']","[563.7666666666667, 564.0]"
1,,"['(288.0, 86.0, 21.0, 29.0)', '(293.0, 87.0, 33.0, 29.0)']","[564.2, 564.6666666666666]"
1,0.0,"['(313.5, 70.0, 24.0, 25.5)', '(314.0, 77.5, 36.0, 39.5)']","[585.3, 591.8333333333334]"
